time,aX,aY,aZ,hr,soundDB
1651694176920,4.85,5.08,2.97,0,-26.020599913279625
1651694178945,4.85,5.08,2.99,0,-26.020599913279625
1651694180953,4.85,5.08,2.97,0,-26.020599913279625
1651694185018,4.85,5.08,2.99,153,-24.436974992327126
1651694187028,5.24,5.04,2.23,1,-24.436974992327126
1651694191122,4.85,5.08,2.73,117,-23.09803919971486
1651694193219,4.83,5.08,2.97,193,-23.09803919971486
1651694197215,4.85,5.08,2.99,0,-24.436974992327126
1651694199223,4.85,5.08,2.97,0,-27.95880017344075
1651694201232,4.85,5.10,2.97,0,-26.020599913279625
1651694203292,0.84,5.08,3.03,91,-30.45757490560675
1651694205322,5.24,5.10,2.97,91,-26.020599913279625
1651694207327,4.85,5.08,2.97,0,-26.020599913279625
1651694211397,4.85,5.08,2.97,0,-24.436974992327126
1651694213427,4.83,5.08,2.97,0,-26.020599913279625
1651694217486,4.85,5.08,2.97,108,-27.95880017344075
1651694219504,4.85,5.08,2.99,0,-26.020599913279625
1651694221532,4.83,5.08,2.97,0,-24.436974992327126
1651694225601,4.83,5.08,2.97,49,-26.020599913279625
1651694227606,4.83,5.08,2.99,61,-24.436974992327126
1651694231696,4.83,5.08,2.97,121,-26.020599913279625
1651694233706,4.85,5.08,2.99,114,-26.020599913279625
1651694237796,4.85,5.08,2.97,0,-24.436974992327126
1651694239806,4.85,5.10,2.95,0,-23.09803919971486
1651694241811,4.85,5.08,2.97,0,-26.020599913279625
1651694243871,4.83,5.08,2.97,0,-26.020599913279625
1651694245888,4.85,5.10,2.99,0,-24.436974992327126
1651694247918,4.85,5.08,2.97,0,-24.436974992327126
1651694251978,4.85,5.08,2.97,0,-23.09803919971486
1651694253987,4.83,5.08,2.97,0,-23.09803919971486
1651694256015,4.83,5.08,2.97,0,-24.436974992327126
1651694260085,4.85,5.08,2.97,0,-26.020599913279625
1651694262118,4.85,5.10,2.99,0,-27.95880017344075
1651694266185,4.83,5.08,2.97,0,-27.95880017344075
